,track_id,track_name,artist,duration_ms,user,track_id,acousticness,danceability,energy,liveness,speechiness,instrumentalness,valence,loudness,tempo
50,3H3qBumaYj67PT3aMEBvAP,As You Are,The Weeknd,340493,user2,3H3qBumaYj67PT3aMEBvAP,0.131,0.377,0.329,0.279,0.0569,0.00654,0.0528,-9.67,173.663
51,19ek2TMXTpXhjn7xkdNAAJ,Theme of Dilwale - DJ Chetas Mix,Pritam,222004,user1,19ek2TMXTpXhjn7xkdNAAJ,0.163,0.614,0.742,0.155,0.0266,0.000142,0.0768,-4.625,129.978
52,6BpjF8Ouqnrpmi8oQBq8mL,Have You Ever Been In Love,Westlife,221200,user1,6BpjF8Ouqnrpmi8oQBq8mL,0.676,0.404,0.316,0.0975,0.0289,0.0,0.256,-7.554,134.132
53,5Byhl7uKwvfxFIcyNqcObU,Rise Of Sultan,Vishal-Shekhar,166164,user2,5Byhl7uKwvfxFIcyNqcObU,0.166,0.666,0.745,0.0671,0.0573,0.0652,0.214,-10.419,106.032
54,5QO79kh1waicV47BqGRL3g,Save Your Tears,The Weeknd,215626,user2,5QO79kh1waicV47BqGRL3g,0.0212,0.68,0.826,0.543,0.0309,1.24e-05,0.644,-5.487,118.051
55,6uQ2N1OF6jjPBD4EcVLMmU,Baby I - Cosmic Dawn Radio Edit,Ariana Grande,239440,user1,6uQ2N1OF6jjPBD4EcVLMmU,0.00209,0.684,0.823,0.362,0.0384,0.000855,0.585,-4.674,124.954
56,1dAHj1Z2jfYh6iN59WZ7Oj,Thursday,The Weeknd,320026,user2,1dAHj1Z2jfYh6iN59WZ7Oj,0.472,0.307,0.625,0.144,0.062,0.000577,0.183,-8.983,180.467
57,5oSJRIUHJsQYcEYhhsqcZF,Bring It Back,Shawn Mendes,159786,user1,5oSJRIUHJsQYcEYhhsqcZF,0.158,0.466,0.448,0.127,0.0327,0.0,0.27,-7.173,79.306
58,7xagQoIf776ukUlgH4TyyB,I Don't Care,Ariana Grande,178026,user1,7xagQoIf776ukUlgH4TyyB,0.728,0.591,0.403,0.153,0.0431,1.37e-06,0.288,-8.284,111.934
59,2njUxZ4151DWIrfIK3loFj,COPYCAT - Sofi Tukker Remix,Billie Eilish,198684,user1,2njUxZ4151DWIrfIK3loFj,0.0585,0.682,0.955,0.226,0.0591,3.18e-05,0.451,-5.02,124.999
60,7hXnhouVPnOnFwCGrQMHvB,Cutiepie,Pritam,231562,user2,7hXnhouVPnOnFwCGrQMHvB,0.253,0.799,0.929,0.24,0.0668,0.000462,0.952,-3.231,127.999
61,5qR4i8K9UCQjYwxzZNLIGj,Tell Your Friends,The Weeknd,334320,user2,5qR4i8K9UCQjYwxzZNLIGj,0.218,0.577,0.43,0.162,0.0423,0.0,0.299,-11.294,74.52
62,2ceOFSCDAVpDiSwO9yvkJy,Shattered Ground,Hitesh Sonik,147893,user2,2ceOFSCDAVpDiSwO9yvkJy,0.44,0.316,0.191,0.108,0.049,0.481,0.039,-15.951,81.039
63,02Qo5DFgoGTiBGo4ZUvjXm,pete davidson,Ariana Grande,73813,user1,02Qo5DFgoGTiBGo4ZUvjXm,0.429,0.654,0.312,0.19,0.0508,8.59e-06,0.304,-10.212,119.9
64,3Df2uB1b5XDbJAiu2xOHvH,Angel,The Weeknd,377346,user2,3Df2uB1b5XDbJAiu2xOHvH,0.105,0.626,0.583,0.115,0.0435,0.0,0.335,-7.574,127.956
65,3LGGgbiblymLDSsFmtHWEa,Dhadam Dhadam,Neeti Mohan,318811,user2,3LGGgbiblymLDSsFmtHWEa,0.757,0.492,0.253,0.0779,0.0266,5.63e-05,0.195,-7.622,92.763
66,2vyTMxEYNDm48wLZfwkOFM,Luv Shuv Tey Chicken Khurana,Amit Trivedi,263573,user2,2vyTMxEYNDm48wLZfwkOFM,0.556,0.527,0.538,0.256,0.0766,3.35e-06,0.802,-7.538,89.457
